tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,sealevelpressure,conditions
28.1,17,23.4,29.3,17,23.8,18.6,75.7,0,0,0,1012.6,cloudy
29,19,23.7,31.4,19,24,18.8,75.9,0,0,0,1015.2,Clear
29.2,19,24.3,32.7,19,25,20.8,81.7,0,0,0,1014.9,cloudy
26,20.3,22.7,26,20.3,22.7,18.8,79.9,0.981,100,8.33,1014.9,rainy
30.3,19,24.8,31.3,19,24.9,17.9,68.2,0,0,0,1015.7,cloudy
31,20.4,24.5,32.6,20.4,25,20.1,79,2.507,100,4.17,1014.6,rainy
30.4,20.9,25.3,31.6,20.9,25.7,19.2,71.1,0,0,0,1013.5,Clear
30.1,20.8,25.3,30.8,20.8,25.6,18.3,67.4,0,0,0,1014.4,Clear
30.7,21,25.5,30.8,21,25.6,18,65.6,0,0,0,1013.8,Clear
30.9,20,25.2,31.3,20,25.5,18.6,68.9,0,0,0,1013.6,Clear
31.2,21,25.8,31.4,21,25.7,17.5,64.6,0,0,0,1012.6,Clear
32,21,26.5,33,21,27,18.8,65.1,0,0,0,1010.9,cloudy
31.6,22,26.4,31,22,26.2,16.3,56.7,0,0,0,1011.5,Clear
30.8,21,25.8,30.2,21,25.7,16.6,59.5,0,0,0,1011.6,Clear
32,21.4,26.2,32.4,21.4,26.3,17.1,59.6,0,0,0,1010.2,Clear
32.3,21,26.5,32.4,21,26.5,16.3,56.5,0,0,0,1010.4,Clear
33,21,26.6,32,21,26.5,16.2,55.6,0,0,0,1009.9,Clear
32.1,21.9,26.8,31.4,21.9,26.7,16.3,54.7,0,0,0,1009.4,Clear
32.3,21,26.7,31.7,21,26.5,16.1,55.5,0,0,0,1008.9,cloudy
32.3,21.8,26.8,31.6,21.8,26.7,16.3,54.6,0,0,0,1009.1,cloudy
33,21,27.4,32,21,27.1,15.7,52.5,0,0,0,1008.7,Clear
35.1,22,29.1,33.7,22,28.7,15.3,46.9,0,0,0,1006.5,Clear
35.6,25,30,34.9,25,29.9,15.9,45.6,0,0,0,1005.1,Clear
35.5,23,29,35.9,23,30,19.8,61.5,0,0,0,1006.2,Clear
35.2,25,29.2,37.7,25,30.2,19.8,59.3,0,0,0,1006.9,Clear
35,24.8,29.4,34.2,24.8,29.2,16.1,47.1,0,0,0,1005.3,Clear
34.3,24,28.9,36.5,24,30.3,21,65.4,0,0,0,1004.5,Clear
34.6,25,29.1,38.8,25,31.9,23.5,74,0,0,0,1005.1,cloudy
34.2,25.9,29.5,40.6,25.9,33.3,24,74.1,0,0,0,1005.6,cloudy
35,26,29.4,40.6,26,33.1,23.9,74,0,0,0,1005.6,cloudy
34,25.8,29.1,42.1,25.8,33.3,24.4,76.9,0,0,0,1005.2,cloudy
33,26.4,29.1,41.4,26.4,34.2,24.8,78.7,0,0,0,1005.5,cloudy
32.2,27,29.2,41.2,30.1,35.1,25.3,80.2,0,0,0,1006.9,cloudy
34,25.6,29.7,42,25.6,35,24.7,75.5,0.036,100,4.17,1008.3,rainy
37,26.5,30.7,40.5,26.5,34.3,22.6,67.7,0,0,0,1007,cloudy
35.2,27,30.1,42,30.4,35.5,24.7,74.9,0,0,0,1005.4,cloudy
33.4,27,29.5,42.1,30.6,35.5,25.4,79.1,0,0,0,1006.3,cloudy
33,27,29.6,40.6,30.6,35.6,25.3,78.7,0,0,0,1006.8,cloudy
33,27,29.5,43.8,30.6,35.8,25.5,79.4,0,0,0,1006.7,cloudy
33,27,29.4,40.6,30.6,34.9,25,77.7,0,0,0,1008.3,cloudy
33.4,26.2,29.4,42.1,26.2,35.4,25.4,79.5,0,0,0,1007.8,cloudy
33,27,29.6,40.6,30.1,35.2,24.9,76.3,0,0,0,1008.6,cloudy
33,27,29.1,39.3,30.1,33.7,24.3,75.9,0,0,0,1010.7,cloudy
33,26,29.3,40.6,26,33.9,24.2,75,0,0,0,1010.4,cloudy
34,26,29.4,40.9,26,34.2,24.8,77.4,0,0,0,1009.8,cloudy
34,26,29.4,40.6,26,33.2,24,74.5,0,0,0,1007.8,cloudy
34,26,29.6,42.2,26,35.4,25.1,77.4,0,0,0,1006.3,cloudy
34,27,29.9,43.8,30.6,36.5,25.5,77.7,0,0,0,1004.8,cloudy
34.2,28,30.3,45.3,31.9,37.5,25.7,77,0,0,0,1004,cloudy
33.6,27,29.9,43.8,30.6,36.7,25.8,79.3,0,0,0,1004.8,cloudy
34,27.9,30.1,47.3,32.4,37.4,25.9,78.7,0,0,0,1003.4,cloudy
34.7,28,30.6,47.3,33.5,39.1,26.5,79.4,0,0,0,1001.8,cloudy
37,28,31.3,47.6,32.7,39.1,25.8,73.7,0,0,0,1001.8,cloudy
35.2,27,30.8,46.7,30.6,38.4,26,76.6,0,0,0,1001.7,cloudy
35,27,30.3,43.8,30.6,36.7,25.3,76.2,0,0,0,1003.2,cloudy
35.6,27.9,30.7,46.7,33.3,38.6,26.2,77.7,0,0,0,1005,cloudy
34,27,30.4,43.5,30.6,37.7,25.9,77.5,0,0,0,1006.6,cloudy
35,28,30.5,44.9,32.7,37.7,25.8,76.5,0,0,0,1005.9,cloudy
35,26,30.6,44.3,26,37.3,25.4,75.1,0,0,0,1006.1,cloudy
36.2,28,31.2,44.7,32.7,37.9,25,70.7,0.011,100,4.17,1006.2,rainy
39,27,32.3,44.9,30.1,38.1,24,65.1,0,0,0,1005.7,cloudy
41,28,33.2,47.3,33.6,40.4,24.7,65.6,0,0,0,1003.7,cloudy
39,28.9,32.8,50.4,35.6,41.7,26.2,71,0,0,0,1003.6,cloudy
38.1,29,32.5,51,36.8,42.8,27.1,74.3,0,0,0,1004.4,cloudy
37,28.7,32.7,49.5,35.1,42.3,26.5,71,0,0,0,1004,cloudy
37,29,32.3,50.2,35.6,42.1,26.8,73.6,0,0,0,1004.9,cloudy
37,29,31.9,49.5,30.9,40.5,25.8,71.5,0.18,100,4.17,1004.5,rainy
35,23.4,29.9,44.9,23.4,34.8,23.3,68.4,39.052,100,8.33,1004.2,rainy
34.5,23.4,29.6,42,23.4,34,22.9,67.7,2.447,100,4.17,1003.4,rainy
34,23,29.1,40.8,23,33.3,23.8,74.2,15.108,100,4.17,1004,rainy
30,24,27.9,38.8,24,31.6,23.7,78.3,1.714,100,8.33,1005.4,rainy
33,24.9,29.4,40.6,24.9,34.2,24.5,75.5,0,0,0,1006.3,cloudy
36,26.1,29.8,46.3,26.1,35.1,24.3,73,0.073,100,4.17,1005.6,rainy
35.7,25.8,30.8,40.6,25.8,34.8,22.9,64.1,0,0,0,1005.1,cloudy
36,27.7,31.5,43.3,31.5,37.5,24.3,66.9,0.811,100,4.17,1005,rainy
35,28.1,31.6,43.3,33.5,37.6,24.4,66.7,0,0,0,1004.5,cloudy
32,25.4,27.8,40.6,25.4,31.7,24.8,84,49.6,100,8.33,1004.8,rainy
33,26.9,29.1,42.4,30.6,35.7,26.1,84.2,31.319,100,8.33,1004.6,rainy
31,25.7,28.6,40.6,25.7,34.5,25.9,85.6,20.182,100,12.5,1003.9,rainy
34,28,30.3,43.8,33.6,38,26.2,79.3,9.666,100,4.17,1002.9,rainy
34,24,30.6,43.6,24,37.9,25.7,76.1,20.676,100,4.17,1000.4,rainy
34.5,24.7,30.4,46,24.7,38,26,77.9,27.147,100,4.17,1000.9,rainy
35,27,31.1,48.7,30.6,40.3,26.7,78.1,19.46,100,4.17,1002.6,rainy
35,28.6,31.5,48.7,32.3,40.3,26.2,73.8,0,0,0,1002,cloudy
35,29.2,31.9,46.7,36.1,41,26.4,73.3,0.078,100,4.17,1001.8,rainy
36,29.3,32,48.1,35.1,41.4,26.6,73.8,0,0,0,1002.9,cloudy
34,28.3,30.9,47.3,33.2,40.4,26.9,79.6,0.308,100,4.17,1003.1,rainy
36,29.1,32.2,48.1,36.8,42.4,27,74.7,0,0,0,1001.2,cloudy
36,24.3,30.7,48.1,24.3,38,25,71.9,25.526,100,12.5,998.2,rainy
32,26.4,29.2,37.9,26.4,33.2,23.3,70.7,0,0,0,997.6,cloudy
34.1,25.7,30.6,43.5,25.7,36.9,25.2,73.7,0,0,0,998.9,cloudy
34.3,28.2,31,43.5,32.7,38.2,25.5,73.2,5.408,100,8.33,1002.2,rainy
36,26,31,43.4,26,37.4,25.1,72.2,2.302,100,4.17,1003.1,rainy
36.5,26,30.1,46.3,26,35.2,24.3,72.7,4.865,100,4.17,1002.1,rainy
36.6,26.4,31.7,44.7,26.4,37.6,24.4,67.2,0,0,0,999.7,cloudy
37.4,26.6,32.4,47.3,26.6,40.4,25.7,69.8,11.147,100,4.17,999.1,rainy
33.7,26.7,29.7,44.1,26.7,35.7,25.2,77.4,6.488,100,8.33,999.9,rainy
35,27.7,31.2,46.7,32.2,39.5,26.1,74.6,0,0,0,1000.1,cloudy
34,28.8,31,47.3,35.6,40.1,26.8,78.9,0.911,100,4.17,999.6,rainy
33.2,28.1,30.6,45.8,33,39.3,26.6,79.5,0,0,0,999.9,cloudy
35,27.5,31.2,48.7,31.1,40.2,26.5,76.6,1.67,100,4.17,1000.1,rainy
34,27.1,30.5,47.3,30.4,39.1,26.5,79.4,0,0,0,999.8,cloudy
35,29.5,32.1,47.3,36.5,42.7,27.2,76.4,0.081,100,4.17,1000.8,rainy
36,29.4,32.4,48.7,38,42.9,27.1,74.6,0,0,0,1001.1,cloudy
36,29.6,32.2,48.1,38.1,42.3,26.9,74.3,0,0,0,1000.6,cloudy
36,29.7,32.4,48.1,36.9,42.6,26.9,73.7,0,0,0,999.7,cloudy
36,28,31.9,50.2,33.6,41.7,26.8,74.9,0,0,0,999.1,cloudy
35,25.8,31.4,48.7,25.8,41.3,26.8,77.1,1.901,100,8.33,999.1,rainy
34,26,30,47.3,26,36.3,25,75.1,1.885,100,4.17,1000,rainy
33,28,30.5,45.8,32.7,39.4,26.8,81.3,14.595,100,4.17,1000,rainy
35,28.3,31.7,51,34.8,42.5,27.5,79.2,0,0,0,1000.9,cloudy
36,29.6,32.5,50.2,38.6,43.7,27.5,75.5,0,0,0,1001.9,cloudy
36,25,31.8,50.2,25,41.7,27,76.5,0,0,0,1001.7,cloudy
34,27.2,30.5,45.3,31.7,39,26.6,80.2,43.663,100,4.17,1002,rainy
35,29.4,31.4,47.3,36.5,41.1,26.9,77.2,0,0,0,1002.7,cloudy
34,26.6,30.2,45.3,26.6,37.4,25.9,78.1,5.759,100,8.33,1003.4,rainy
32,26.5,29.3,42.3,26.5,36.3,26.1,83,6.452,100,8.33,1003.6,rainy
34,25.7,29.8,45.8,25.7,36.5,25.8,79.8,0.571,100,8.33,1002.5,rainy
32,25.9,29.4,42.3,25.9,35.9,25.8,81.1,0,0,0,1000.4,cloudy
34.2,26.9,30.2,43.8,30.3,37.2,25.7,77.5,1.467,100,8.33,999.5,rainy
32,26,29.4,40.6,26,36.3,26,82.2,4.081,100,16.67,1002.4,rainy
33,27.8,30,43.8,33.3,37.3,26,79.7,0.004,100,4.17,1003.1,rainy
33,27.6,29,43.8,32.5,35.6,26,83.9,1.447,100,8.33,1001.6,rainy
30,27,27.9,40.4,30.6,33.2,25.8,88.2,20.194,100,12.5,1000.7,rainy
31.2,27,29,42.4,30.6,35.8,26.2,85.2,12.907,100,20.83,1002.7,rainy
34,27.5,30.7,43.5,32.4,38.2,26,76.9,0,0,0,1003.8,cloudy
34.1,28,30.9,43.5,32.7,38.2,25.6,74.4,0.053,100,4.17,1002.3,rainy
34,28,30.5,43.5,32.7,38.4,26.3,78.8,0.243,100,4.17,1000.6,rainy
32,27.5,29.5,42.3,32.3,37,26.5,84.1,1.251,100,12.5,1000,rainy
31.5,28,29.5,42.4,33.6,37.3,26.6,84.5,0.087,100,8.33,999.2,rainy
33.6,27.3,29.4,43.8,31.9,36.5,26.3,83.7,39.544,100,20.83,998,rainy
30.4,26.4,28.7,39.3,26.4,34.7,25.9,84.8,2.902,100,12.5,998.6,rainy
34,27.9,30.4,44.1,33.6,38.2,26.3,79.5,0.101,100,8.33,998.5,rainy
33,27.9,29.8,43.8,32.7,37.2,26.2,81.2,6.523,100,8.33,998.7,rainy
31,27.9,29.1,42.4,32.7,36.1,26.2,84.6,22.193,100,8.33,1001.6,rainy
33.6,27,30.4,43.8,30.6,38.1,26.2,78.7,0.17,100,8.33,1003.1,rainy
32,28,30.1,44.1,33.6,38.3,26.5,81,6.086,100,8.33,1001.3,rainy
32.9,28,29.7,40.6,33.6,36.8,26.1,81.5,0.652,100,12.5,999.4,rainy
32,27,28.8,42.3,30.6,35.2,26.1,85.7,12.322,100,12.5,998.7,rainy
33,27,29.4,42.1,30.6,36.1,26,82.2,0.628,100,12.5,999,rainy
31.9,27,29,40.7,30.6,35.5,26,84.2,6.485,100,16.67,997.6,rainy
32,27.8,29.2,42.4,33.5,36.2,26.3,84.6,8.482,100,16.67,996.1,rainy
33,27.7,29.3,42.3,33,36.3,26.3,84,12.41,100,16.67,996.6,rainy
34,27,29.4,45.3,30.6,36.3,26,82.4,3.182,100,12.5,998.6,rainy
32,27,29.3,42.3,30.6,36.5,26.3,84.4,13.031,100,16.67,999.8,rainy
32.5,27.7,29.5,42.4,32.7,36.9,26.3,83.1,5.8,100,20.83,1001.8,rainy
33.2,27,29.7,42.1,30.6,36.5,25.9,80.4,2.015,100,20.83,1002.4,rainy
33.1,27,30.1,43.8,30.6,37.6,26.2,80,0.158,100,16.67,1000.7,rainy
32,28.7,30.2,42.3,35.3,37.9,26.1,79.1,0.88,100,8.33,1000.8,rainy
32.6,28,29.9,44.9,33.6,37.9,26.5,81.8,5.686,100,4.17,1001.3,rainy
34,28,29.6,45.3,33.6,37,26.3,83,3.605,100,8.33,1002.1,rainy
31,27,28.3,40.6,30.1,34,25.8,86.2,19.483,100,12.5,1002.6,rainy
29,26,27,35.6,26,29.4,24.8,88.1,15.695,100,25,1004,rainy
30,25,27.6,37.4,25,31.5,25.2,86.7,10.34,100,16.67,1006.6,rainy
32.8,26.6,29.1,40.9,26.6,34.6,25.2,80.3,0.036,100,4.17,1007.6,rainy
33.2,27,28.8,42.8,30.6,35,25.8,84.2,20.29,100,8.33,1006.7,rainy
34.2,27.5,29.8,43.5,32.7,36.6,25.9,80.2,4.865,100,4.17,1006.6,rainy
34,28,30.5,45.8,32.7,38.9,26.5,79.7,26.829,100,4.17,1005.4,rainy
34.3,28.3,31.3,43.5,34.8,39,25.8,73.1,0,0,0,1003.6,cloudy
33.2,27,30,44.2,30.6,38.1,26.5,81.9,2.095,100,4.17,1001.7,rainy
33.3,28.6,30.3,42.5,33.3,38.1,26.2,79.4,0,0,0,1001.9,cloudy
33.6,26,29.2,45.7,26,36.2,26.3,85,15.096,100,16.67,1001.6,rainy
31,27,29.1,41.3,30.6,36.1,26.3,85.2,1.385,100,12.5,1002.5,rainy
33,26.9,29.6,42.3,30.6,36.4,25.9,80.9,0.012,100,4.17,1002.6,rainy
34,27,29.9,45.3,30.6,37.4,26.2,80.9,0,0,0,1000.9,cloudy
30.1,28,28.9,39.4,32.7,35.6,26.1,84.9,7.721,100,16.67,998.7,rainy
32.9,26,29.3,42.3,26,35.5,25.8,81.8,5.481,100,8.33,997.7,rainy
31,27,28.7,39.1,30.1,34.5,25.5,83.1,9.012,100,16.67,996.7,rainy
30,26.7,28,37.4,30.1,32.7,25.1,84.7,12.521,100,16.67,995.6,rainy
30.6,26,27.4,38.3,26,31.1,25.1,87.5,8.956,100,25,995.5,rainy
30,26,27.2,37.4,26,30.4,25.2,88.9,19.221,100,25,999.1,rainy
33,26.3,29.3,42.1,26.3,35.3,25.6,81.2,4.054,100,4.17,999.6,rainy
33.1,27.1,29.4,43.8,31.3,35.9,25.7,80.9,0.865,100,8.33,997.1,rainy
28.5,25.9,27.3,34.3,25.9,31,25.1,88,36.641,100,25,998.3,rainy
30,26,28.1,37.4,26,33.2,25.6,86.2,6.615,100,8.33,1004.5,rainy
34.1,27,30.6,42.1,30.6,37.4,25.5,75,0.002,100,4.17,1004.7,rainy
35.1,28.9,31.7,45,35.6,40.3,26.2,73.3,0,0,0,1002.2,cloudy
35,27.4,31.4,48.7,32.3,40.7,26.7,76.4,4.134,100,8.33,999,rainy
31,26,27.6,39.1,26,31.8,25.2,86.9,23.987,100,20.83,996.5,rainy
30,26.5,27.6,37.4,26.5,31.9,25.2,86.6,25.694,100,16.67,999.5,rainy
33,27.4,29.7,42.6,32.4,36.9,26.2,82.2,0.169,100,8.33,1000.7,rainy
33.7,28,29.8,43.8,32.6,36.7,25.8,79.8,34.179,100,4.17,1000.5,rainy
30.7,25,28.4,38.8,25,34.2,25.9,86,10.424,100,16.67,1002.4,rainy
30,27,27.7,37.4,30.1,32.3,25.3,86.7,6.036,100,8.33,1003.6,rainy
33,26.8,29.4,41.3,30.1,35.1,25,77.6,0.278,100,8.33,1003.6,rainy
34.2,27.1,30.4,42.1,31.4,37,25.4,75.6,0,0,0,1002.4,cloudy
33.8,28,30,45.4,32.7,37.9,26.4,81.1,39.944,100,12.5,1002.2,rainy
32,27,29.5,40.6,30.6,36,25.7,80.3,5.24,100,12.5,1004.4,rainy
34,28,30.9,43.5,32.7,38.2,25.6,74.5,0,0,0,1007.1,cloudy
34.7,28,30.7,44.1,32.7,38,25.6,74.9,0.089,100,4.17,1007.5,rainy
34.6,28.7,31.3,45.3,35.5,39.1,25.9,74,0.001,100,4.17,1006.1,rainy
34.7,29,31.1,43.3,34.5,38.9,25.8,73.7,1.789,100,8.33,1006.4,rainy
34.4,28.8,31.5,45.2,34.5,39.4,25.7,72.1,0,0,0,1006.9,cloudy
34,25.7,30.3,45.3,25.7,37.1,25.3,75.4,5.877,100,8.33,1004.2,rainy
34.6,28,29.9,43.8,31.9,36.7,25.7,78.8,8.678,100,8.33,1003.7,rainy
34,26,29.9,44.1,26,37.2,26.1,80.8,6.906,100,4.17,1004,rainy
32,26.3,29,42.3,26.3,35.1,25.7,82.7,13.157,100,20.83,1005.2,rainy
34.2,27.8,31,43.5,32.7,38.9,26.1,76,0,0,0,1005.7,cloudy
34.4,28.4,31.1,42.5,34.1,38.5,25.6,73.5,5.676,100,4.17,1006.6,rainy
34.2,27,30,45.3,30.6,37,25.8,78.5,0.225,100,4.17,1006,rainy
33,27.7,29,42.3,32.6,34.9,25.5,81.8,4.3,100,12.5,1004.8,rainy
30,26,27.5,36.2,26,31.3,24.9,85.6,23.061,100,20.83,1003.4,rainy
27,25,26,30.1,25,26.3,24.4,91.1,68.183,100,33.33,1003.1,rainy
28,25.3,26.6,33.6,25.3,28.6,24.8,89.8,38.479,100,16.67,1005.1,rainy
29,27,27.9,35.6,30.6,32.8,25.4,86.5,0.086,100,4.17,1006.4,rainy
31,27,28.5,40.6,30.4,34.6,26,86.5,0.548,100,8.33,1005.3,rainy
33,25.9,28,42.2,25.9,31.8,24.7,83.2,13.157,100,4.17,1002.5,rainy
30.3,26.4,28,40.3,26.4,33.1,25.5,86.3,0.569,100,8.33,1002.7,rainy
33,25.8,29.4,40.7,25.8,34.8,25.3,79.4,0,0,0,1003,cloudy
31.5,27,28.5,39.2,30.1,33.8,25.3,82.9,8.722,100,12.5,1003,rainy
29,26,27.8,35.6,26,32.4,25.4,87,10.279,100,12.5,1002.3,rainy
31.7,27,29.1,40.6,30.6,35.3,25.7,82.3,3.417,100,4.17,1004.4,rainy
33,27,29.7,42.1,30.6,36,25.5,79.1,0.012,100,4.17,1005,rainy
33.5,27,30,42.1,30.6,36.3,25.3,76.6,0,0,0,1005.1,cloudy
33.8,27,30.1,41.3,30.6,36.3,25.2,75.6,2.433,100,4.17,1004.9,rainy
33,27.1,30,40,30.7,35.4,24.5,73.1,4.865,100,4.17,1005.9,rainy
33,27.4,29.5,40.6,31.9,35.3,25,77.3,0,0,0,1006.5,cloudy
33,27.7,30,40.4,32.5,36.3,25.2,75.5,0.081,100,4.17,1005.4,rainy
32.5,27,28.9,41.1,29.6,34.8,25.4,81.5,13.108,100,4.17,1004.2,rainy
33.4,26.8,30,42.1,30.1,36.3,25.4,77.2,0,0,0,1003.9,cloudy
33.3,27,30.1,43.8,30.6,37.1,25.8,78.3,0,0,0,1003.9,cloudy
33.6,25.6,30,42.9,25.6,36.3,25.4,77.3,25.611,100,8.33,1002.6,rainy
30.3,26.1,28,37.4,26.1,32.4,25,84.2,0.178,100,4.17,1002.3,rainy
30,26.8,28.2,37.4,30.1,33.1,25.2,84.1,14.377,100,12.5,1004,rainy
32,26.7,29.1,40.6,26.7,34.6,25.2,79.8,8.288,100,16.67,1007.3,rainy
31,27,28.3,39.1,30.1,33.2,25.1,82.9,6.157,100,8.33,1008.7,rainy
31.3,26,28.2,37.2,26,32,24.5,80.9,26.722,100,20.83,1009.6,rainy
33,26,29.2,39.9,26,34.3,25,78.9,0.993,100,12.5,1009.6,rainy
34,26.7,30.3,40.6,30.1,36,24.8,73.6,0,0,0,1009.7,cloudy
34,27.1,30.1,40.6,30.8,35.8,24.8,74,0.002,100,4.17,1010.7,rainy
33.1,27.2,29.9,40.8,31.5,36,25.1,75.7,0.2,100,4.17,1011.2,rainy
33.5,27,29,40.4,29.6,34.4,24.9,78.8,2.093,100,12.5,1009.6,rainy
33.1,25,27.9,40.6,25,30.9,24.1,80.6,19.237,100,16.67,1009.5,rainy
32.7,25,28,39,25,31,24,79.7,0.936,100,4.17,1009.5,rainy
31.5,26,27.8,38.5,26,31.6,24.7,83.3,21.17,100,16.67,1009.3,rainy
32.6,26,29.1,37.4,26,32.8,23.8,74.6,0,0,0,1009.1,cloudy
33,25.6,28.8,36.4,25.6,31.3,22.1,68.3,0,0,0,1010.7,Clear
32.3,25,28.2,35.8,25,29.9,21.3,66.8,0,0,0,1010.7,Clear
32,25,28.3,37.9,25,31,22.8,72.8,0,0,0,1010.1,cloudy
30,26,27.6,33.8,26,30,22.6,74.3,1.771,100,4.17,1010.4,rainy
32,24,27.8,35.5,24,29.4,21.7,70.6,0,0,0,1011.5,Clear
32,23,27.9,36.8,23,30.1,21.8,70.6,0,0,0,1012.3,Clear
33,24,28.3,37,24,30.7,22.2,70.3,0,0,0,1011.9,Clear
29.8,24,26.9,34.3,24,29.1,22.8,78.1,0.02,100,4.17,1009.9,rainy
26,21,23.3,26,21,23.3,21.3,88.5,2.015,100,20.83,1003.4,rainy
30.1,22,25.4,32.8,22,26.2,20.8,76.7,0,0,0,1008.2,cloudy
31.8,23,27,35.2,23,28.4,21.7,74.2,0,0,0,1012.2,cloudy
31.6,24.9,27.4,34.1,24.9,28.6,21.3,70.9,0,0,0,1011.8,cloudy
30,22.4,26.4,31.9,22.4,26.9,19.3,66.7,0,0,0,1011.2,cloudy
30,20.5,25.5,30.8,20.5,26.1,18.5,66.2,0,0,0,1011,cloudy
31,20.9,26.2,31.9,20.9,26.9,19.5,67.8,0,0,0,1011.1,Clear
31,22.6,27.1,32.4,22.6,27.7,19.5,64.9,0,0,0,1011.4,cloudy
32,23,27.5,34.9,23,28.7,20.2,65.6,0,0,0,1011.9,Clear
31.1,23.9,27.4,32.4,23.9,27.9,18.8,60.6,0,0,0,1010.8,Clear
29.4,22.5,25.7,29.5,22.5,25.8,17.6,62.2,0,0,0,1011.1,cloudy
31,21.6,25.9,31.9,21.6,26.4,18.8,66.4,0,0,0,1012.4,Clear
30.3,21.3,26,31.3,21.3,26.5,19.3,68.5,0,0,0,1013.7,cloudy
